date,trades,redeems,spent,redeemed,net
2026-04-16,22,0,33.20,0.00,-33.20
2026-04-17,16,2,15.52,14.63,-0.90
2026-04-18,0,2,0.00,5.00,5.00
2026-04-20,0,3,0.00,10.23,10.23
2026-04-22,0,24,0.00,0.00,0.00
2026-04-26,180,26,643.58,721.79,78.21
2026-04-27,0,1,0.00,0.00,0.00
2026-05-01,26,8,163.00,260.43,97.43
2026-05-02,20,3,240.62,104.36,-136.26
2026-05-03,40,6,277.05,258.99,-18.06
2026-05-08,112,20,1222.75,1346.95,124.20
2026-05-09,0,1,0.00,9.84,9.84
2026-05-12,277,77,1753.21,2071.07,317.86
2026-05-13,116,22,1924.45,2263.36,338.90
2026-05-14,255,24,2887.25,1909.12,-978.13
2026-05-15,708,43,5512.71,5016.13,-496.58
2026-05-16,331,3,1475.59,802.93,-672.66
2026-05-17,324,15,3511.13,3447.49,-63.64
