market,trades,spent,redeems,redeemed,net,sides
Gemini 3.5 released by May 31?,17,834.87,0,0.00,-834.87,SELL Yes|BUY Yes
"Bitcoin Up or Down - May 17, 10:30AM-10:35AM ET",33,532.92,1,476.50,-56.42,BUY Up|BUY Down
"Bitcoin Up or Down - May 17, 10:45AM-10:50AM ET",22,471.77,1,618.42,146.65,BUY Up|BUY Down
Confirmed case of Hantavirus in US by May 15?,10,449.61,1,454.20,4.59,BUY Yes
Will Bulgaria win Eurovision 2026?,9,404.89,1,429.95,25.06,BUY Yes
Will the highest temperature in Seoul be 20°C on May 13?,15,401.73,1,402.38,0.65,BUY Yes
"Bitcoin Up or Down - May 17, 10:35AM-10:40AM ET",11,383.25,1,360.01,-23.24,BUY Up|BUY Down
"Bitcoin Up or Down - May 17, 10:25AM-10:30AM ET",19,336.05,1,250.54,-85.51,BUY Up|BUY Down
Will the highest temperature in Hong Kong be 29°C on May 14?,9,292.67,1,297.16,4.49,BUY Yes
"Bitcoin Up or Down - May 17, 10:50AM-10:55AM ET",8,257.93,1,88.95,-168.98,BUY Up|BUY Down
"Bitcoin Up or Down - May 17, 10:55AM-11:00AM ET",7,256.42,1,304.06,47.64,BUY Up|BUY Down
"Bitcoin Up or Down - May 17, 10:20AM-10:25AM ET",8,248.63,1,170.93,-77.71,BUY Up|BUY Down
Will the highest temperature in Seoul be 24°C on May 16?,8,241.48,1,255.71,14.23,BUY Yes
"Bitcoin Up or Down - May 15, 2:35PM-2:40PM ET",5,198.78,1,158.40,-40.38,BUY Up|BUY Down
"Bitcoin Up or Down - May 17, 10:40AM-10:45AM ET",27,198.47,1,134.30,-64.16,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 1:40PM-1:45PM ET",13,198.01,1,80.80,-117.21,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 1:30PM-1:35PM ET",8,197.22,1,316.80,119.58,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 1:25PM-1:30PM ET",18,186.62,1,237.60,50.98,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 2:50PM-2:55PM ET",8,160.80,1,79.20,-81.60,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 2:30PM-2:35PM ET",9,160.00,1,161.60,1.60,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 2:25PM-2:30PM ET",18,159.20,1,80.80,-78.40,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 1:35PM-1:40PM ET",13,158.41,1,237.60,79.19,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 1:45PM-1:50PM ET",14,155.27,1,158.40,3.13,BUY Up|BUY Down
"Bitcoin Up or Down - May 15, 2:40PM-2:45PM ET",17,151.47,1,60.74,-90.73,BUY Up|BUY Down
"Bitcoin Up or Down - May 17, 10:10AM-10:15AM ET",10,151.15,0,0.00,-151.15,BUY Down
"Bitcoin Up or Down - May 17, 10:15AM-10:20AM ET",7,150.01,1,310.42,160.41,BUY Down
