"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Will Trump say ""Iran"" during events with Xi Jinping?","Buy","1.27278","51.04","Yes","1778910169","0xb2419b086a0fb538f01d3696a15338ff5b112b6ebb8765c32f6b2d94c0ddcc37"
"Will Trump say ""Iran"" during events with Xi Jinping?","Buy","1.27228","51.02","Yes","1778910169","0xa66a49731b6e0c7f0c21f91075d2a36f652cd10a41cc809c8e7840b7770f1afc"
"Will Trump say ""Iran"" during events with Xi Jinping?","Buy","1.27228","51.02","Yes","1778910167","0x3a41607f48fe63c6cb2bc6851b9a5b49be6173bd56e7601f87eff5d564349505"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.11272","50.99","Yes","1778910129","0xebdd74ea06d6a34437cadec3e591a77fcdbad25acd97c3af82a585c573ace7b1"
"Will Trump say ""Strait"" or ""Hormuz"" during events with Xi Jinping?","Buy","1.16749","51.07","Yes","1778910059","0xf43bb2e5629067ec06f56f134fc19646d9d3c4a3cd79946d73aa1f0823afcc61"
"Will Trump say ""Strait"" or ""Hormuz"" during events with Xi Jinping?","Buy","1.16749","51.07","Yes","1778910059","0x6ce7f53ebe2892283ea765441c7abe25f205edd2e10f87d065b42f52f414ccd7"
"Will Trump say ""Strait"" or ""Hormuz"" during events with Xi Jinping?","Buy","1.16749","51.07","Yes","1778910059","0xb1f55be22bf3f625e3cdd3c2558c641ac0b0530f632039a8409416c186f3df7d"
"Will Trump say ""Iran"" during events with Xi Jinping?","Buy","1.27278","51.04","Yes","1778910054","0xbe267884cf6b890f8fbbbc1f191655df74b25054bf94055afbc2685ff54f17f1"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.0761500000000002","50.99","Yes","1778909915","0xea9f294ae6446f2feb3775f5514917c44a5202ce01a976232847518a57c8ea81"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909914","0x2b52e893ec21390101cd7adcccfe43905a6a1b2db9172311e4a6b1a53a02628e"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909914","0xa2dad0534b4e5bdaff1f05f2fa798f5fbe63326b95c7309cef26c15d7defff9e"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909912","0x70e3e7e7fa1fb2f5d5314aa48d6aba29294ef91bc977d4e0ae4f442d1036297b"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909912","0xcd7e6b75098c7eea124a8b68213ddbed37459b10f9fb1912f3621aa3b22ebf75"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909910","0x06f9e2d2a997b24b86f4f008426c2d86f11a6d0839e410e1eab2ce30d4154c65"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909908","0x497b08a4a920f3fac4c8690fb7dedbfeca9f9260afd530990abaec089a038276"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909907","0x4bd477d8a615963bda20458fcb23565827a7e191446b7441ed29d81d70223269"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909905","0x67bf9ab1ca20a07c498e1682107e3b7a9852e5398a2505b5ca22124b1fe750bc"
"Will Trump say ""Nuclear"" during events with Xi Jinping?","Buy","1.05977","50.99","Yes","1778909903","0x36028dbf1b3cca02c072463b7283a0773b720678b2acd72de8ed55fbaaaf169a"
"Will Trump say ""Strait"" or ""Hormuz"" during events with Xi Jinping?","Buy","1.06143","51.07","Yes","1778909522","0xbeacc387f81b3e6251043f3710c4bf51c4110e541b67698e8e096034cb8c2581"
"Will Trump say ""Strait"" or ""Hormuz"" during events with Xi Jinping?","Buy","1.06143","51.07","Yes","1778909516","0xed8d348f6e4356e88025745211ba3b9ae2165d45563d5b12f2a0cf97bb38e6f2"
"Will Trump say ""Strait"" or ""Hormuz"" during events with Xi Jinping?","Buy","1.06143","51.07","Yes","1778909515","0x76ca5bc6d7af1a1b93725bf6d3df39d1ce6c1ce6f93ce2adb8181720b5d4c1ca"
"Will Trump say ""Iran"" during events with Xi Jinping?","Buy","1.49192","51.02","Yes","1778909509","0x36164255ec991d63ecb011ec6c9d3da5c036a30aa509d98676d8ac5691668471"
"Will Trump say ""Strait"" or ""Hormuz"" during events with Xi Jinping?","Buy","1.06143","51.07","Yes","1778909509","0x20f7cb22acd770c829317d1d8b74954df918380c898ded87597f24674eb43bbe"
